Pred	Coding.Potential	ORF.Max.Len	ORF.Max.Cov	Seq.lnc.Dist	Seq.pct.Dist	Seq.Dist.Ratio	Signal.Peak	SNR	Signal.Min	Signal.Q1	Signal.Q2	Signal.Max
Ancr-1	Coding	0.94371858593713	492	0.0717096633143857	-22.3069397016745	-20.0409449794166	1.11306825723962	2.21145379000012	0.0210219678686788	5.23504646349423	5.84348743183668	6.8261861074895	43.583664199975
Ks-1	NonCoding	0.0876121804147882	342	0.0195149786019971	-32.0354486113049	-28.3631898358155	1.12947270024094	21.4713171171228	0.0804170487961656	15.3528850503664	17.4873825044664	20.1907965606926	153.52313471095
SNHG8	NonCoding	8.91055598861712e-07	159	0.243491577335375	-73.2190897333205	-65.820191618098	1.11241076534922	0.866381692360048	0.092898105472095	0.753261000318991	0.77480424861737	0.866381692360048	2.04012766523242
FAM138E	NonCoding	0.00102659809266081	258	0.228318584070796	-43.5792277686489	-38.9703647577024	1.11826584225223	0.361841189536908	0.0219516250586404	1.35205732131511	1.46582716543186	1.7419514311497	4.79248362601303
VPS9D1-AS1	Coding	0.765704876804775	582	0.332002281802624	-18.2966376304201	-16.3559352757864	1.11865431856451	1.15731978090152	0.0462319074754826	2.21306467734481	2.42900784489263	2.922578403477	13.27455572888
MATN1-AS1	NonCoding	0.163148244344408	369	0.178692493946731	-29.1261933016438	-26.0671135165022	1.11735399023774	4.27894910259448	0.1459668734005	2.55105692134125	2.92487055101048	3.47523443657813	11.7221693626635
XGY2	NonCoding	9.99999999473644e-08	99	0.272727272727273	-122.298222950787	-110.494211685876	1.10682922738494	0.502650149061815	0.0963448366974028	0.48288058897448	0.502650149061815	0.549545057983139	0.783739040936325
LOC100133050	NonCoding	0.00241527444765199	222	0.316690442225392	-51.1303136408027	-45.8293189276975	1.11566819750187	3.75282269223894	0.37764412392853	0.921637268647515	1.01235511939138	1.09097072637487	3.75282269223894
AA543186	NonCoding	9.99999999473644e-08	102	0.0601415094339623	-118.41987054962	-106.553219848833	1.11136829762274	0.793100201548413	0.032401389290182	1.96588664197148	2.17136024828545	2.50424473338346	7.32859404129606
BACE1-AS	NonCoding	9.99999999473644e-08	81	0.0964285714285714	-151.608799271637	-136.76539132741	1.1085319012373	1.44162978680599	0.117535360984971	0.931390621004477	1.01893835550089	1.21334866908191	2.34043773228717
9530027J09Rik	NonCoding	9.99999999473644e-08	141	0.083729216152019	-84.0631191618913	-75.4438084768327	1.11424808554973	1.50687045547886	0.0604732414952229	1.81461806920578	2.07348252844172	2.42033111847691	5.46092814263506
AV039307	NonCoding	0.00998558438067121	270	0.225941422594142	-41.5073555261741	-37.1311373315356	1.11785844736088	1.68449051715209	0.0961851516265295	1.28129739666414	1.41662197155705	1.59037596351217	6.08257728173207
A930006K02Rik	NonCoding	0.000129895877037045	213	0.273778920308483	-53.9079431171262	-48.3144814962877	1.11577194761509	1.01137653366176	0.0903893738329926	0.84661135890814	0.981021640765904	1.12926272247441	3.22676566883694
5430416N02Rik	NonCoding	9.99999999473644e-08	120	0.191693290734824	-99.4165338946834	-89.6189816700673	1.10932452078831	0.736468212883055	0.0836808339372899	0.75998804374917	0.887372238779448	0.971104442708975	3.64010137303595
Gm16619	NonCoding	0.00040538581014482	225	0.122883670125614	-50.4530487914356	-45.2098952196853	1.11597358379781	2.31554590820087	0.0876758161433889	2.07553694502481	2.29532071879941	2.72216193905801	6.79878649816777
Gm19835	NonCoding	0.0268644948132709	273	0.200146627565982	-40.9628883546249	-36.8070176141711	1.11290973868129	0.707508838440044	0.0358755554886427	1.578489137188	1.81332984735728	2.12539449540395	6.60605504032106
Gm11725	NonCoding	0.000176605885189862	243	0.137989778534923	-46.7115191308642	-41.7231370996983	1.11955913140582	1.45746883825183	0.0584174124035321	2.08284236102162	2.44242996480281	2.8441916999568	6.37791695627353
1110015O18Rik	NonCoding	9.90308794190931e-07	144	0.0939334637964775	-81.9519872878649	-73.738019929224	1.11139392360311	0.923013751291094	0.0394423072498308	1.25522016076345	1.43036269189797	1.7143253298401	5.08222858271818
Gm20043	NonCoding	0.00126942595052026	285	0.111111111111111	-39.4547405408565	-35.1228678155241	1.12333482414035	2.43350103180152	0.0644968629432641	2.67055410860157	2.98596572170549	3.45976600379196	8.05366628218256
A730020E08Rik	NonCoding	7.22791098772824e-06	171	0.102950030102348	-68.2010466538548	-61.2010283956124	1.11437746132293	1.30657448351652	0.0520096953075066	1.44203487889053	1.67003878457729	1.97538068997114	4.84103995069093
Gm15834	NonCoding	0.00107336236406896	240	0.0666296501943365	-47.3366898750115	-42.3874088364147	1.11676300048671	1.98488284346057	0.0367305980151726	3.51183307087825	4.08788589209683	4.61706154163077	14.9020325021282
RPARP-AS1	NonCoding	0.288358315588811	345	0.212700369913687	-31.5707987381823	-28.2804902425498	1.1163455253927	1.96369741393918	0.0830403958929457	1.84496505726725	2.0384665937544	2.37586254268113	5.73531948336465
LINC01207	NonCoding	0.000157610361081972	225	0.0720461095100865	-50.545653009906	-45.197266174577	1.11833429957181	2.98791650999996	0.0646863308865166	3.13507573065433	3.65916099964102	4.20569760737394	17.8394305753938
LINC00963	NonCoding	0.0805342590741852	375	0.176636834667923	-28.9041537773938	-25.7919861000467	1.12066413440497	2.00730464353008	0.0651361501531375	2.40656580832141	2.7929736387861	3.18626271805641	10.931591881582
LINC01426	NonCoding	0.000139753977592583	228	0.0889235569422777	-50.0163943243277	-44.6976774104859	1.11899313839054	2.7555114547001	0.0728294557248353	2.73568955916004	3.05439814154087	3.5128112312273	9.46008593063771
NRAV	NonCoding	0.00373922256488834	261	0.137585661570901	-43.2558127500181	-38.6717109288724	1.11853889344532	4.51606391599032	0.1643449601715	2.11400524907027	2.32197964205875	2.6527283780246	5.75330355762634
NUP50-AS1	NonCoding	0.000148005787551808	201	0.150224215246637	-56.7448877788878	-50.9700564522529	1.11329850756678	1.61620496754412	0.0839130818023501	1.61274059882771	1.84022704458419	2.0917203889695	5.70031676266995
LINC00458	NonCoding	3.72534312953476e-07	144	0.135977337110482	-81.9012887109868	-73.632911441613	1.11229186932164	0.955503237854073	0.0595786847788377	0.971353088167386	1.11451810505619	1.22198002779427	2.49974173182893
Adapt15	NonCoding	9.99999999473644e-08	132	0.175298804780877	-89.8480644110156	-80.7818387764947	1.11223098869543	0.591327640000002	0.0542380787901895	0.818414053219617	0.953941714603839	1.12479181481885	3.57217800989341
Gm21283	NonCoding	9.99999999473644e-08	99	0.171875	-122.352295098591	-110.119893472846	1.11108257772481	0.737806042256993	0.0883354866207349	0.636795842966778	0.686514066546609	0.726350596034001	1.16444018601804
FALEC	NonCoding	9.99999999473644e-08	132	0.23321554770318	-89.8727934211438	-80.9257199522499	1.11055908398681	0.905428591529686	0.115386375258851	0.759796682503745	0.901865583256095	1.0101266099353	2.27538126202355
HOXA10-AS	NonCoding	0.0177920438890012	294	0.253229974160207	-37.874819517089	-33.8760042618989	1.11804270728846	1.7337754989931	0.107075412319199	1.41514584995178	1.59878475540663	1.92574999941026	4.93555452862897
LOC100996579	NonCoding	3.38433438376029e-05	195	0.0815217391304348	-59.1500147207102	-52.9592194915278	1.11689740310793	2.64179998126834	0.0724357105773408	2.14076969366997	2.43748494880391	2.76934885139831	7.95878783537744
Gm20619	Coding	0.937685308051059	741	0.517458100558659	-13.1668373800625	-11.5860640137685	1.13643747906239	0.99082665695211	0.0466541196304661	1.49557724380492	1.65495185326258	1.99725961761489	4.17678782630601
CCAT2	NonCoding	4.19077850414284e-05	207	0.118150684931507	-55.6225893449613	-49.7656756580323	1.11768982555718	0.365521700542141	0.0139516407944545	1.6873450537855	1.8539706888925	2.2160604355799	4.62435169348579
LOC101927746	NonCoding	0.483010784218752	375	0.506756756756757	-29.0323826088716	-25.9072917215114	1.12062591956555	0.770849438131131	0.0728456446811444	0.768496035259702	0.852751529177311	1.04183404576994	2.5550443395219
LINC01108	NonCoding	0.00554235047998541	276	0.0746551257776576	-40.6499342807233	-36.3496574091387	1.118303092191	2.45557496965689	0.0453510687113843	3.96386979567523	4.46729019470887	5.57976652035549	14.8423780254
LOC102606465	NonCoding	0.000304348754257444	261	0.194341027550261	-43.2109511439703	-38.4723298560721	1.1231695950213	1.03975756832262	0.0522258415199656	1.34879455234288	1.68177544145437	1.92907980408615	6.11750542686699
Gm30025	NonCoding	1.76748804370241e-07	138	0.169741697416974	-85.5990385205397	-77.1532743361207	1.10946734609894	1.04819468798509	0.0906184317149697	1.02734017862546	1.21677737547898	1.39326361590096	2.74286750244379
Gm30052	NonCoding	6.06469284014644e-07	165	0.180722891566265	-70.622105645654	-63.3122887065068	1.11545652650519	0.880628115066218	0.0651724225088534	1.00803437834752	1.14621458505446	1.34394602369075	2.11775931806352
Gm30127	NonCoding	0.000475379112665042	213	0.214717741935484	-53.6399635565355	-48.1519172478584	1.11397357825708	0.711391263675596	0.0489596564417834	1.03140946047435	1.12051357362531	1.22312112361937	3.47900932747327
Gm30524	NonCoding	5.8021602323266e-05	186	0.135076252723312	-62.0183199088594	-55.7261289800626	1.11291275823318	1.67201206517494	0.0829798602987226	1.46953168617847	1.67201206517493	1.98850983440295	3.96899563009609
Gm30529	NonCoding	2.46435570949721e-07	153	0.213389121338912	-76.8104563825512	-69.0851753930804	1.11182255737958	0.282727402394655	0.026795171320634	0.816780445467062	0.922233171545121	1.09074582219522	1.51666800541569
Gm15731	NonCoding	1.13535922663388e-07	147	0.0626598465473146	-81.8672178000337	-73.4128361761896	1.11516217141582	2.65679737746573	0.0758722387819407	2.15284279316069	2.52067164116042	3.00766048214796	12.4961171650647
Gm31135	NonCoding	0.0659817577100124	252	0.0298613579808034	-44.4734842593093	-39.7454273846877	1.11895851134924	9.85959868278845	0.0797420301563797	8.96047622745742	10.352134976302	12.0901894064555	33.7355204378305
Gm31169	NonCoding	3.91156788293046e-07	144	0.0881812614819351	-81.9260111859125	-73.6191077572561	1.11283624159161	3.43813425381408	0.144203331550893	1.85302855400102	2.08239886705651	2.38837625378905	5.13643722213861
Gm31359	NonCoding	1.94088034422002e-06	168	0.0884676145339652	-69.5790270502648	-62.3900421976142	1.11522647844796	2.91951309000008	0.105120344027954	2.05424664547865	2.40579543133765	2.65851039677622	9.58941694589553
LOC102633666	NonCoding	9.99999999473644e-08	78	0.168831168831169	-158.198658921641	-142.754796192041	1.10818454539927	0.105378584812315	0.0153825670119067	0.40793463	0.460699666415564	0.618598135540898	1.13533978080427
Gm13261	NonCoding	6.0254589066e-06	171	0.295847750865052	-68.1926794019455	-61.3729249178664	1.11111991962589	0.893928381287314	0.105633275301236	0.595419794895044	0.708148976836262	0.844029162372378	1.44202771474042
Gm31718	NonCoding	0.000541104325052166	246	0.137969713965227	-46.0766664648139	-41.2652153416337	1.1165982313032	0.502306781140702	0.019818201828681	2.14912646704491	2.4511114127588	2.78866421699987	7.68796593905576
Gm27166	NonCoding	0.00245346193617979	255	0.132124352331606	-44.294896916379	-39.6482560804384	1.11719660069067	1.76939419397609	0.0621827086122747	1.98400926953117	2.24500936869326	2.59246269314345	7.61470298205707
Gm16070	NonCoding	0.00262342318358055	252	0.1113074204947	-44.904652386702	-40.1914300409486	1.11726933679522	4.54133414271956	0.136508313502839	2.35509010376526	2.63794494778867	3.09142602098052	7.78882613867841
Gm32865	NonCoding	2.45380732192269e-05	204	0.348122866894198	-56.2213896269082	-50.3283672113046	1.11709146833359	0.840410929849998	0.0971818737692656	0.679232377716701	0.739723808834358	0.81356794418531	1.15287688421027
Gm33035	NonCoding	0.00736317296246425	297	0.102272727272727	-37.4160540844799	-33.4177172280201	1.11964721674966	2.39878908793936	0.0561381442227623	3.13783583044093	3.48793354955403	3.99463286196605	10.5114797113291
Gm12320	NonCoding	1.36701947539564e-07	150	0.132508833922261	-78.3279939144073	-70.2215646212791	1.11544073870823	1.54560808224446	0.0943104261861458	1.27229635376789	1.40995604208305	1.58338438236079	5.19109259424771
Gm33337	NonCoding	0.0705647405811808	327	0.0665039658328249	-33.6009647370876	-30.0475551249935	1.11825952551921	3.76230544577976	0.0515759134603008	4.92614560561838	5.61916921960113	6.47815744231742	20.1614334110266
Gm13799	NonCoding	9.99999999473644e-08	132	0.157517899761337	-90.1046089848084	-81.0075446216968	1.11229897666439	0.440580316377087	0.0360499214169134	0.824108763681234	0.920314489005267	1.30579338414689	4.95455062642515
Gm34785	NonCoding	0.00516214667535986	279	0.0611038107752957	-39.9655662137451	-35.6499465472556	1.12105543161948	5.07178602150795	0.0764878041275227	5.11643342089548	5.74056535046854	6.68169073415579	18.8916251600487
Gm35066	NonCoding	0.00341529765325421	261	0.0806302131603336	-43.0589387537082	-38.512728527899	1.11804435571258	8.40889120720095	0.176738933740915	3.14728297354063	3.55553749773263	4.3616645347408	16.9580376163747
Gm35234	NonCoding	9.99999999473644e-08	156	0.430939226519337	-75.258568800581	-67.5050418740602	1.11485848628886	0.266207778080091	0.0488330166455701	0.350656925262592	0.369655825488424	0.41926594357118	0.684954945328118
Gm16222	NonCoding	9.99999999473644e-08	90	0.0693374422187981	-135.64004374557	-122.210738866251	1.10988645518309	0.813078219504394	0.0410585707816323	1.22236689765808	1.40318701721888	1.64362540269091	3.23458187475357
Gm26839	NonCoding	0.214930611377187	423	0.0832022029897718	-26.1555002170598	-23.3126290332747	1.12194554203764	4.91208912207157	0.0656046508691839	5.41033064856324	6.14887991545997	7.15599098291393	52.3746619827264
Gm36394	NonCoding	0.000689552191315834	231	0.0681014150943396	-49.3561003261233	-44.2278001066778	1.11595196250042	1.39524000877634	0.0285528820424199	3.88042676630807	4.36975239270811	5.27231405091037	13.4205259166303
Gm26782	NonCoding	8.3087780922142e-07	174	0.279742765273312	-66.8584706179655	-59.9519429089551	1.11520106561849	0.302632206014376	0.0331200150559402	0.612135341941428	0.704629461374527	0.789969321381885	2.09006116661693
Gm36529	NonCoding	2.09540566828981e-05	210	0.134357005758157	-54.8513736298507	-48.9376154669683	1.12084279355364	1.68448151895003	0.0713590412617639	1.4957595866675	1.696489953501	1.89653013881268	7.26504473670712
Gm28515	NonCoding	1.1776197902047e-05	168	0.0563191418035535	-69.4867393433295	-62.5015717288742	1.11175987133182	0.749362906346624	0.0170948199570278	3.07039206666463	3.49143017426979	4.10708556397225	8.73019997808656
Gm36757	NonCoding	0.0133743421868326	324	0.0966298836862511	-33.935086922771	-30.2787884723165	1.1207544500599	1.94249729062766	0.0405737405158123	4.06572706490771	4.65052123978169	5.45168003964092	17.1256537733654
Gm36794	NonCoding	8.31961479252907e-06	195	0.303265940902022	-59.0876764247958	-52.9039970988429	1.11688491730407	0.76126038139274	0.0800735465145484	0.640334462493613	0.761184934463886	0.947124729608635	1.99289954805752
Gm28231	NonCoding	2.67833291733854e-06	150	0.0575373993095512	-78.3615904387414	-70.5502704810418	1.11071991509655	2.75506976098195	0.0704321964361462	2.52499590677141	2.8208833492137	3.33126573431227	9.91263930827936
LOC102641805	NonCoding	0.0058646515106503	315	0.0947368421052632	-35.2100814560205	-31.3543465016756	1.12297290119374	3.2408407684888	0.0672901673060491	3.64730426230249	4.09021581737633	4.88984095125749	17.5883481742553
Gm38604	NonCoding	2.53987511233955e-06	162	0.124423963133641	-72.075474503116	-64.7220426865134	1.11361557069853	0.736479958303637	0.0372955450716843	1.20325263605885	1.34590239508646	1.51699314968945	4.4465094613894
LOC102642641	NonCoding	0.00346982999972034	246	0.0523181624840493	-45.8969989898117	-41.0690209665944	1.11755766048439	6.28529192705536	0.090588208426028	4.82986204458852	5.53646727689299	6.41606304815214	33.9380477166059
LINC01224	NonCoding	6.73259414141203e-06	204	0.0795631825273011	-56.5840478801237	-50.493053518888	1.12063034292345	1.60896905256748	0.0417399126741448	2.57133971540804	2.87796552503449	3.15830347535709	18.0833508043324
Gm15774	NonCoding	9.99999999473644e-08	93	0.151219512195122	-130.500247628922	-117.726031077456	1.10850800315404	0.314308129535934	0.0357504115977803	0.648132901298361	0.728923031949305	0.864737762954482	2.37036870257535
Gm39329	Coding	0.938803591185089	537	0.780523255813954	-21.7034208502137	-19.5617698353714	1.10948145453433	0.207100735238843	0.0210498486240061	0.69855282401431	0.993058271794078	1.26662721404267	9.49788664632324
Gm39526	NonCoding	2.12621000522661e-05	168	0.153144940747493	-69.5659867587046	-62.6289663870524	1.11076376909657	1.38116668823385	0.0833467753204446	1.11603111632156	1.2485831573032	1.41579921043635	3.17834844639652
Gm39644	NonCoding	0.0863113299739822	303	0.518835616438356	-36.5748295791502	-32.7639509940722	1.1163131572797	0.142742144659149	0.0162341496332849	0.574844395442982	0.650900903251456	0.785639287842478	1.38411004240701
Gm20513	NonCoding	9.99999999473644e-08	135	0.25328330206379	-87.8563249518735	-78.9836994645772	1.11233489374951	0.571926188423648	0.0736750803633685	0.554948813141014	0.629773574898266	0.700723131857749	1.46128600217972
Gm26562	Coding	0.887479647360748	495	0.550611790878754	-21.1564467489098	-18.8466640901068	1.12255657806389	1.72414809821764	0.132592207957477	1.01556980717356	1.24687502735904	1.55905871297454	3.29084198951052
Scamp1	Coding	0.989607206024991	1017	0.282108183079057	-8.85309144762723	-7.87850736728115	1.12370161439379	8.51403936524356	0.15980221801573	3.84584397773943	4.38910782048156	5.07817597341	12.2291907011763
PTENP1	Coding	0.99168674316065	1110	0.282299084435402	-8.10995530263592	-7.11930964317586	1.13914911825891	19.8506476129443	0.340321948861697	3.70510028643349	4.18777334042658	4.80323354485061	23.419114460137
Igf2os	NonCoding	0.108237122805991	336	0.0703223105902051	-32.4442446446246	-29.1383726254297	1.11345424336806	33.956340846282	0.501654358260655	5.73888340438589	6.4408418091669	7.43481554304522	46.0966987816436
Ap1g1	Coding	0.989274823945258	2469	0.358761987794246	-2.70566257715014	-2.35073783878484	1.1509843983916	36.4031024584895	0.359926629590585	7.36685954553473	8.3994389916019	9.84224733390663	36.4031024584895
Clcn5	Coding	0.964388667095409	2451	0.587769784172662	-2.78794756415075	-2.45353308381187	1.13629915265676	27.83568099	0.459573175311812	4.63134793027841	5.20938896499141	6.22012352636808	27.83568099
SNHG11	NonCoding	0.0703466889813952	345	0.313351498637602	-31.9165719918966	-28.4742376595105	1.1208929409647	1.49106997	0.095416932356384	1.40837243718515	1.58544783792955	1.80248528864864	2.75304876965147
Dhh	Coding	0.997924790726366	1191	0.280962491153574	-6.97400379598428	-6.34885399680798	1.0984665578214	10.1909880996281	0.166493716284522	4.98167094378267	5.58672848177762	6.40678315594826	39.4178200976027
Dtna	Coding	0.97287685530788	2241	0.566767830045524	-3.18711264906053	-2.8307112785377	1.12590523562931	17.7929013100002	0.30867118759119	4.48114979440886	5.0549147294201	5.89829464857053	17.7929013100002
LINC00239	Coding	0.597755476457627	399	0.602719033232628	-26.8449131619375	-23.9416504631973	1.1212641001172	0.65842719830739	0.0685996225206843	0.704998890336621	0.814974347268379	0.997291099735921	2.00909681078822
Gpc4	Coding	0.973844075629679	1674	0.72	-4.73726746444207	-4.28152253378645	1.10644459466445	11.87143468	0.349163038063124	2.55086134269032	2.82644787934442	3.29582215543515	11.87143468
ILF3-AS1	NonCoding	0.000980029557184903	276	0.135826771653543	-40.8151900906119	-36.4373610884413	1.12014670852658	0.604920330660539	0.0208824218892098	2.39414819232671	2.60015510339967	3.00951059837094	9.72804233186018
ZNF436-AS1	NonCoding	0.236262322103227	381	0.132337617228204	-28.0202451856679	-25.1188662405416	1.11550596740085	1.8900883895663	0.0460244007493576	3.37894555731722	3.78955383081258	4.51636157103734	21.8714898631556
Gt(ROSA)26Sor	NonCoding	9.99999999473644e-08	102	0.0829268292682927	-118.58509668026	-106.427553122506	1.11423304587075	0.956549060082517	0.0527810250712696	1.23576526150807	1.38178542484475	1.69804583060224	5.75190312604513
NCBP2-AS2	Coding	0.950050796486987	300	0.215672178289001	-36.9233032988305	-33.4653774744439	1.10332845721006	4.61582919772767	0.2368259427522	1.76152255136861	1.98427933988855	2.20040095754543	6.07563894823319
Ilf3	Coding	0.992726943412227	2697	0.756734006734007	-2.59842510545299	-2.35411632363185	1.10377940094491	58.637456701828	1.15583242795037	4.21893424965985	4.72189351605804	5.5977617314537	58.637456701828
Ipw	NonCoding	0.106592521701061	309	0.420980926430518	-36.8788175458384	-33.0385536197637	1.11623583678244	0.781123956179682	0.0713600643474357	0.740990882163933	0.864235943190011	1.03300825477646	3.06372371245893
Itgb2l	Coding	0.953157336752217	2217	0.846829640947288	-3.3736953443451	-3.01917673607926	1.11742227741401	8.78906897170906	0.233232769862237	3.03614638936491	3.37526270768808	3.90545571570679	9.01573488214548
Uhmk1	Coding	0.973292552306428	1260	0.61734443900049	-6.8052016435707	-6.07727526168439	1.11977841228876	7.65945548796868	0.260860324590035	2.36031118536702	2.66529917984768	3.30691295688352	8.27322667348289
Nmt2	Coding	0.992444164911098	1476	0.333258071799503	-5.59561222925701	-4.90307361048268	1.1412458130944	9.71474968364826	0.148569268063078	4.41328584527865	5.04457583071624	5.82302987767039	16.0077786140793
Psen1	Coding	0.982384126075449	1404	0.464439298709891	-5.94082125134651	-5.29822054797213	1.12128613702582	20.6665069653709	0.469541132067993	3.31777645563618	3.73929424255032	4.39121010581604	20.6665069653709
Pvt1	NonCoding	0.00051218041397072	210	0.0682704811443433	-54.6330070579047	-49.0775286037267	1.11319800756544	6.32528828325266	0.13894188749289	3.17330909653211	3.49871260056994	4.0215737745577	15.4942620830737
EMX2OS	NonCoding	0.265457451847449	459	0.0630321340291129	-23.3925793799049	-20.8163844847977	1.12375803766445	14.0715165405017	0.132423467747305	8.0399279562222	9.00190368785441	10.6052381912565	55.6437952781631
RMST	NonCoding	1.87848967169169e-05	189	0.0900428775607432	-61.0668273201744	-54.7060928413321	1.11627104310466	1.75760992236406	0.0560502430765681	2.01966912840374	2.30872633242941	2.59084408185567	6.44585374379859
Sema3a	Coding	0.991215493612463	2319	0.35232452142206	-3.04420176471213	-2.63483547403839	1.15536692697032	31.3073827599996	0.317374489969957	5.98453689981165	6.8361105003452	7.90244069787748	42.1532949116247
LINC00116	Coding	0.939890624515445	417	0.252421307506053	-25.4006447428437	-22.8214810158722	1.11301473927909	2.96151533136012	0.124951262724749	1.95682859436466	2.12658542933779	2.43331398497891	5.87200126280663
Tfdp2	Coding	0.967244692532543	1158	0.15684681023974	-7.60562199139707	-6.72966454137697	1.13016361285683	14.5139854465096	0.133871924550532	8.00183031438589	8.90296357922414	10.3623182010594	36.3256831763586
Lemd1	Coding	0.907227335569776	390	0.39	-27.6140902117772	-24.6808199936905	1.11884816707211	2.96443925681396	0.204707453403945	1.06080273550861	1.15900827484576	1.33839651548577	3.3962707128135
Phactr2	Coding	0.994987282423854	1692	0.204249154997586	-4.77772847202127	-4.23263647416435	1.1287830885511	32.9572328478161	0.26794262053391	8.22775112157563	9.28886563225653	10.7942667379118	37.6169777144601
Myl6b	Coding	0.999918544639792	624	0.592592592592593	-16.2419769226069	-14.7720157939486	1.09950985357465	5.00188087000001	0.330043858119627	1.17075440696341	1.37629831980204	1.50645985867349	5.00188087000001
BC042761	NonCoding	0.0577047226077765	312	0.4875	-35.3163613556202	-31.5198080022967	1.12044976140232	1.39077906638117	0.153748422268894	0.776585758956353	0.918291323411737	1.09637764169825	1.97632390470668
Tsix	NonCoding	0.00104662559601398	228	0.0529493729679517	-50.6414125986172	-45.3730201829834	1.11611288810811	3.52640420601397	0.0553574142938965	4.28534042142004	4.77879831738253	5.55606640687174	11.9090602203261
Golgb1	Coding	0.865922366827035	9717	0.881360544217687	-0.503296231732441	-0.455495676047305	1.10494184291702	1246.21654471	8.01398539818092	12.1166393765576	13.7811428341914	15.794066604709	1246.21654471
Dmrt2	Coding	0.933772058004513	1686	0.721437740693196	-4.65003426760683	-4.16854811306831	1.11550452135339	14.06789137	0.422443688117328	2.81917269242115	3.16423313755408	3.75054308704358	27.1550967555386
Smox	Coding	0.944882343601755	1758	0.771052631578947	-4.48822624371875	-4.09851120615118	1.09508697621289	8.06213929	0.253327592584748	2.90025752538969	3.30744327513828	3.78997919018322	10.3474977174911
Lncpint	NonCoding	0.00315490977703181	294	0.171528588098016	-37.634732215276	-33.5486697735473	1.12179506577487	1.4469543209018	0.0581718011452952	1.90806506728284	2.18190771953109	2.66309059036213	5.6717015079731
TTTY16	NonCoding	9.99999999473644e-08	75	0.390625	-164.705229120987	-148.363179924891	1.11014895477685	0.10334704	0.0370780026631917	0.200991003908279	0.23835777653466	0.277017146692545	0.5379191983431
TTTY19	NonCoding	3.88868956591182e-07	57	0.211895910780669	-221.557673824644	-200.284642193912	1.10621399323337	0.369785869279015	0.0906917352843057	0.262289300053329	0.313153055529378	0.339860168231803	0.469403421828188
LINC00094	NonCoding	0.12141300674555	408	0.0711545169166376	-26.6548077081406	-23.7373635569828	1.12290514673858	11.1922553041474	0.134230140329558	6.27256401130767	7.23296440928126	8.45459514173013	56.7374651563698
Aoah	Coding	0.977734903808948	438	0.467948717948718	-24.2988824229563	-21.7383247795261	1.11779001691252	2.55841162333944	0.183715521757879	0.875600308731122	1.10756511238565	1.27124301947221	5.3597717290021
A230006K03Rik	NonCoding	9.99999999473644e-08	135	0.0442913385826772	-88.0724002718377	-78.8089211896946	1.11754353367997	3.76885797879989	0.0794038120035861	2.10338553517394	2.3993661271751	2.79935999090976	42.3987604958932
MIR663AHG	NonCoding	9.99999999473644e-08	105	0.0857843137254902	-115.022556255178	-103.51052676129	1.11121602656353	0.752052090000003	0.0407946973513282	1.16315459475712	1.37504210977939	1.51024330751616	4.86382521247584
